Faction,Name,Character,Cost,Type,Spd,Attack 1,,,Attack 2,,,Def,Moral,Abilities,Requirements,Boxes,Id,Version,Requirement Text,Quote,Lore
Free Folk,Wolf Pack,Wolf Pack,3,Monster,6,[M]Pack Tactics,3+,3,,,,4+,2+,"Varamyr’s Wolf Pack /
Distract",Pet: 'Varamyr Sixskins',SIF417,10320,2021,*May only be fielded in an army including Varamyr Sixskins.*,,"Although not fit to stand in the formal line of battle, the wolves controlled by Varamyr Sixskins make for brilliant flankers and a true nightmare for archers and artillery behind the line. The beasts themselves are simple wolves, but when inhabited by a man’s consciousness, they act and function as one, capable of utilizing pack tactics in coordination with human elements in the Free Folk army. Is it any wonder Skinchangers are so feared?"
Free Folk,Frozen Shore Hunters,,5,Infantry,5,[RS]Harpoon,4+,6.6.4,[M]Harpoon,4+,6.6.4,5+,7+,"Order: Mark Target /
Harpoon",,SIF413,10321,S04,,,"The Walrus clan are adept at hunting in the far, northern wastes beyond the Wall. Now, they bring their expertise south with the Free Folk as they seek out warmer climes and greener pastures. Their weighted harpoons are perfect for skewering both vicious beast and enemy soldier. Their knowledge of keeping prey on their lines keeps them nimble, and under constant maneuver to attack from unexpected angles against enemy formations. "
Free Folk,"Giant Spear Throwers
",,7,Monster,5,[RL]Giant's Spear,3+,3,[M]Giant's Spear,3+,3,4+,5+,"Giant /
Giant's Spear",,SIF418/SIF418,10322,S04,,,"What’s worse than facing giants in the line-of-battle? Facing giants hurling spears the size of tree trunks from afar. The Free Folk’s alliance with the giants brought their Spear Throwers into the fray, giving them what amounts to artillery made of flesh. Their weapons are crude, but not much finesse is needed for a wooden haft as thick as a large man’s torso. That said, these giants have trouble dealing with foes up close, and must be guarded."
Free Folk,Harma's Vanguard,,5,Cavalry,5,[M]Crude Weapons,4+,6.4,,,,6+,7+,"Order: Planned Approach /
Cavalry",,SIF419,10323,S05,,,"North of the wall horses are a somewhat rare sighting, which makes Harma Dogshead’s Vanguard all the more inspiring for the Free Folk. While lightly armored and crudely armed compared to southern troops, these cavalry units serve as more than outriders, being both scouts and spearheads to the Free Folk armies. Their greatest weakness is in fact their lack of armor, but this gives rise to their greatest strength: pure speed."
Neutral,House Bolton Cutthroats,,5,Infantry,5,[M]Ruthless Aggression,3+,7.6.4,,,,5+,7+,Ruthless Aggression,,SIF501/SIF005/SIF005,10401,2021-S01,,,"While simply armored and lightly armed, Bolton Cutthroats enjoy a reputation for brutality and cold efficiency that allows them to strike panic in enemies with far more expensive armaments. Their spiked maces can easily dispatch enemies, but are more effective for the fear their brutality creates. Bolton Cutthroats make sport of downed foes or, worse for the opponent, take them prisoner to suffer a much more agonizing fate."
Neutral,House Bolton Bastard's Girls,,7,Infantry,6,[RL]Tracker's Bow,3+,4.4.4,[M]Blade and Fang,3+,6.6.4,6+,5+,"Order: Charging Volley / 
Tracker’s Bow / 
Blade and Fang",,SIF502,10402,2021,,,"Trained to corner and bring down even heavy infantry, the Bastard’s Girls are best utilized as flankers or in pursuit of fleeing foes. While they do not possess the armor to counter a determined assault, enemies suffering from their handlers’ wounding arrows make for easy prey. A fat bounty can be expected for handlers bringing down enemy commanders to await Ramsay Bolton’s ‘entertainments’ following battle."
Neutral,House Bolton Flayed Men,,8,Cavalry,5,[M]War Flail,3+,6.5,,,,3+,6+,"Cavalry / 
War Flail /
Intimidating Presence",,SIF503,10403,S06,,,"The so-called Flayed Men rank among the heaviest cavalry employed by even the largest houses in the War of the Five Kings. With thick steel armor (blackened, of course), heavy shields, and even protective barding for the horses, the Flayed Men are capable of truly devastating charges and can endure in the line for a short time. Their signature war flails render most defenses only marginal at best, but their terriying visage remains their most vital weapon."
Neutral,House Bolton Blackguards,,6,Infantry,5,[M]Spiked Flail,4+,6.5.4,,,,3+,6+,"Spiked Flail /
Horrific Visage",,SIF504/SIF005,10404,S06,,,"The ruthlessness of House Bolton’s Blackguards is known by every enemy force they face. Their vicious spiked flails render heavy shields only moderately effective. Being the heaviest troops in House Bolton’s arsenal, the Blackguards can be relied upon to take and hold any position on the battlefield."
Neutral,Bloody Mummer Skirmishers,,6,Infantry,6,[M]Mummer's Blade,3+,7.6.5,,,,5+,7+,"Mummer's Blade /
Counterstrike /
Disrupt",,SIF508,10405,S04,,,"Despite their outrageous appearance, the Bloody Mummers remain a deadly band of mercenaries, noted for their cruelty, itself excessive for even low-brow mercenaries. They’re loyal to coin alone, but meet their price and their ranks will fill whatever role an army requires. The Skirmishers are lightly armed and armored, granting them the mobility needed for rapid flanking, though they should be protected from direct charges."
Neutral,Stormcrow Mercenaries,,5,Infantry,5,[M]Longsword,4+,7.5.4,,,,4+,6+,"Motivated by Coin /
Adaptive",,SIF511,10406,S06,Adaptive: *Reduce the cost of 1 Attachment in this unit by 1.*,,"While one might question Stormcrow loyalty to their leaders, their employers, and even themselves, one can always count on their absolute devotion to coin. Once properly motivated, Stormcrow Mercenaries are capable medium infantry, adept at holding a flank or performing flanking maneuvers themselves. Their professionalism guarantees a good working relationship with whomever their employer might be, but only as long as the coin lasts."
Neutral,Stormcrow Archers,,6,Infantry,5,[RL]Mercenary’s Longbow,4+,7.6.4,[M]Short Sword,5+,5.4.3,5+,7+,"Mercenary's Longbow /
Loyalty Through Coin",,SIF512,10407,S04,,,"A Stormcrow is a Stormcrow, whether wielding blade, bow, or both. Money remains the prime motivator in the Stormcrow mind, and extra coin can prod added effort from these mercenaries. Stormcrow Archers are adept in long-range combat, with recurved longbows and arrows made for distant flight. They’re not meant for melee, though their shortswords can fend off weakened attackers. Still, a wise commander will keep them far from flankers or cavalry."
Neutral,Bloody Mummer Zorse Riders,,6,Cavalry,6,[M]Motley Armaments,3+,6.4,,,,5+,7+,"Cavalry /
Motley Armaments /
Elusive Escape",,SIF509,10408,2021-S03,,,"Never lacking for outrageous flair, Bloody Mummer cavalry ride Zorses into battle. These unusual beasts originate from Essos, where striped animals and horses were interbred to create the species. Zorses can survive on little food and water for extended periods, but remain as swift as their western counterparts. Zorse Riders fill a classic light cavalry role in the Mummer ranks, flanking and charging pinned units and exposed archers."
Neutral,Stormcrow Dervishes,,7,Infantry,6,[M]Swift Strike,3+,7.6.4,,,,4+,5+,"Ambush/ 
Swift Strike / 
Motivated by Coin",,SIF513,10409,S06,,,"A Stormcrow Dervish paid up to the end of the week will buy you a hardened veteran skirmisher, adept at swift movement in medium armor to strike exposed enemy positions—to the end of the week. The infamous Stormcrow loyalty to coin extends even to their best-trained soldiers. Yet employers seeing Dervishes in action rarely have cause to complain as these heavy-hitters shred enemy flanks and fade away safely beyond any possible counterattack."
Neutral,Hedge Knights,,7,Cavalry,5,[M]Knight’s Blade,3+,7.4,,,,4+,7+,"Cavalry /
Knight’s Blade /
Loyalty Through Coin",,SIF507,10410,2021,,,"So-called Hedge Knights travel the world in search of employment. Owning little but their arms, armor, and their horse, these landless nobles are shunned and disdained—except in times of war. With their blades for hire, and supplying their own equipment, nobles from all sides of the War of Five Kings can find a use for a half dozen or so trained knights on the battlefield. That said, their equipment rarely matches that of true knights."
Neutral,Golden Company Swordsmen,,7,Infantry,5,[M]Mastercraft Longsword,3+,7.5.4,,,,4+,6+,"Order: Adaptive Style /
Mastercraft Longsword",,SIF516,10411,S04,,,"The Golden Company is well known for their motto, “Our word is good as gold.” When hired on to fight, they make sure to give every penny’s worth on the battlefield. Their Swordsmen have trained relentlessly, letting them find any weak spot in an enemy’s defenses, exploiting it. Meanwhile, they almost never flee the field, even when faced with seemingly insurmountable odds, making them a sound investment for anyone with the coffers to afford them."
Neutral,Golden Company Crossbowmen,,7,Infantry,5,[RL]Crossbow,3+,6.6.4,[M]Short Sword,4+,5.4.3,5+,6+,"Order: Sentinel /
Crossbow /
Iron Resolve",,SIF517,10412,2021-S02,,,"The Golden Company, the Free Cities’ most reliable mercenary group, offers several types of troops for hire. One being their Crossbowmen. These sharp-eyed fighters never waste a shot, resolutely waiting until enemies have closed to within perfect range before unleashing their bolts. These bolts punch through enemy armor with ease, especially at closer ranges. Anyone looking to bolster their forces can get a bargain by hiring them."
Neutral,Golden Company War Elephant,,6,Monster,6,[M]Stomp,3+,4,,,,3+,6+,"War Elephant /
Stomp",Limited: 'Golden Company' Infantry,SIF518/SIF518,10413,2021-S03,*Your army may only contain 1 War Elephant for each Golden Company Infantry unit.*,,"Even the best-trained soldier will likely have no idea what to do when a massive elephant bears down on their battle line. The brutish War Elephants of the Golden Company stomp their way into enemy lines, seemingly impervious to attack, while they use their massive feet and tusks to demolish foes. However, they are simple creatures and without a handler nearby, it’s possible they’ll stop acting entirely, unsure about what action they should be taking."
Neutral,Lysene Sellswords,,5,Infantry,5,[M]Pirate's Blades,3+,7.5.4,,,,5+,7+,"Raiders Of The Free Cities /
Pirate's Blades",,SIF519,10414,S04,,,"The island fortresses of Lys have high, thick walls and plenty of Sellswords patrolling their coast to make them an unappealing target for attack. However, these Sellswords are just that, offering their services to anyone with coffers deep enough to hire them abroad. Not interested in individual glory, they’re only focused on grabbing plunder and the payment waiting for them when they head back to their home port."
Neutral,Stone Crows,,5,Infantry,5,[M]Scavenged Weapons,4+,6.5.4,,,,4+,7+,"Order: Incite /
Disorganized /
Recruiting From The Hills",,SIF521,10415,2021,,,"As mountain tribes and raiders go, Tyrion Lannister’s Stone Crows are quite ordinary, save their unexpected loyalty. While pledged more to Tyrion’s coin than his person, they proved true to their word, even when betrayal might have been a more lucrative option. As mercenaries, these troops are worth their coin, if properly employed as scouts and flankers. Their light arms and armor make them unsuited to the front line in  a protracted engagement."
Night's Watch,Veterans of the Watch,,7,Infantry,5,[M]Dual Weapons,3+,7.6.5,,,,4+,5+,"Dual Weapons/
Counterstrike /
Disrupt",,SIF002/SIF303,10501,2021-S03,,,"While Sworn Brothers can confidently keep their place in the line, Veterans possess the arms and expertise to push the line forward. They’re skilled combatants, nigh impossible to break, and their personal kit consists of the best armor the Builders can forge. Even the most professional units the Seven Kingdoms can muster would find the Veterans difficult to thwart, let alone defeat."
Night's Watch,Sworn Brothers,,7,Infantry,5,[M]Greatsword,3+,7.5.4,,,,4+,5+,"Order: Martial Training /
Greatsword",,SIF002/SIF002/SIF301,10502,2021,,,"As the mainstay of the Night’s Watch forces, the Sworn Brothers face Wildlings and other northern terrors with stoicism and reserve born of long-training and solid gear. Indeed, having their own forges and smiths allows the average Brother a better kit than the average foot soldier belonging to most great houses (except House Lannister, of course). Sworn Brothers can be relied upon to hold the line, almost regardless of the odds."
Night's Watch,Ranger Trackers,,6,Cavalry,6,[RS]Recurve Bow,3+,7.5,[M]Short Sword,4+,5.4,5+,5+,"Order: Mark Target /
Cavalry /
Pathfinder",,SIF002/SIF302,10503,2021-S03,,,"The Night’s Watch Rangers employ many units of varying skill sets, but their eyes are embodied by the Trackers. As dedicated scouting cavalry, Trackers are charged with providing intelligence on enemy strength, numbers, and location. On the battlefield their expertise extends to determining enemies in vulnerable positions. Wise commanders will heed their counsel, and position troops to exploit such weaknesses accordingly."
Night's Watch,Ghost,Ghost,3,Monster,6,[M]Tooth & Claw,3+,4,,,,4+,2+,"Direwolf / 
True Bond / 
Tooth & Claw",Pet: 'Jon Snow',SIF002,10504,2021,Character: *May only be fielded in an army including Jon Snow.*,,"The albino direwolf known as Ghost could not be more aptly named, trailing in Jon Snow’s wake like an ominous shadow. On the battlefield, Ghost ranges more or less freely, having an instinctive grasp of his master’s will. Capable of shocking speed and rending through armor with his powerful jaws, Ghost operates best as a flanker or in pursuit of broken troops. Indeed, the sight of a charging direwolf is enough to shake most men to their core."
Night's Watch,Ranger Hunters,,7,Infantry,6,[RS]Hunter's Bow,4+,7.6.4,[M]Swift Strike,3+,7.6.4,5+,5+,"Order: Quick Fire /
Swift Strike",,SIF305,10505,2021-S03,,,"Often working hand-in-hand with Ranger Trackers, Ranger Hunters specialize in eliminating critical targets on the battlefield. While stealth is rarely an option in open battle, Hunters strike suddenly, exploiting weakened or vulnerable enemies, often eliminating them to a man before any serious resistance can mount. However, as with all light infantry, being bogged down in an extended melee can prove fatal, something any commander should avoid."
Night's Watch,Builder Scorpion Crew,,5,Siege Engine,4,[RL]Bolt Thrower,3+,3,[M]Weapon Crew,4+,3,5+,5+,"War Machine /
Bolt Thrower",Limited:2 Ignore:'Scorpion Modifications (Othell Yarwyck)',SIF306/SIF306,10506,S04,Limited: *Your army may only contain up to 2 Builder Scorpion Crews.*,,"The Night’s Watch Builders are known for their ingenuity, and none embodies this more than the Builder Scorpion Crew. With just a few specialized parts, and enough available timber, the Crew can construct a mobile Scorpion, capable of firing massive bolts at long range and with surprising accuracy. Entire ranks can be cut down by a single projectile. However, the Scorpion itself requires time to reposition, and it moves very slowly."
Night's Watch,Builder Stone Thrower,,8,Siege Engine,1,[R]Rock Volley,4+,2,[M]Weapon Crew,4+,3,5+,5+,"War Machine /
Rock Volley",Limited:2,SIF307/SIF307,10507,S04,Limited: *Your army may only contain up to 2 Builder Stone Throwers.*,,"Builder Stone Thrower Crews are adept at constructing and operating mobile Stone Throwers in the field. The Builders insist these are not catapults, as those siege engines are typically on a larger scale and often use specialized projectiles, but the principles are the same. A competent Stone Thrower Crew can land their deadly projectiles dead-center in enemy formations, against which not even the heaviest of infantry have any protection."
Night's Watch,Builder Crossbowmen,,7,Infantry,5,[RL]Crossbow,3+,6.6.4,[M]Short Sword,4+,5.4.3,5+,6+,"Order: Ready! Aim! Release! /
Crossbow",,SIF304,10508,2021-S01,,,"While the Wall and its fortifications remain the Builders’ primary responsibility, they also service arms and armor for the entirety of the Night’s Watch. Thus, their role on the battlefield is not traditionally as front-line combatants. But in the face of some enemies, every man wants a weapon at hand. As crossbows require more attention to upkeep and maintenance than most weapons, the Builders are a natural choice to act as second-line fire support."
Night's Watch,Conscripts,,5,Infantry,5,[M]Simple Weapons,4+,6.5.4,,,,5+,7+,"Order: Supply Aid /
Disorganized",,SIF308,10509,2021-S01,,,"Somewhat ragged and often unruly, Night’s Watch Conscripts are literally the lowest of the low. While the Watch prefers to provide at least some training to their newest recruits, on occasion, defense of the Wall requires every man standing to grab a blade and sally forth. Liable to break and run at the first sign of serious resistance, a wise commander will not depend too heavily on the Conscripts holding against strong odds."
Night's Watch,Watch Marshal,,4,Cavalry,6,[M]Longsword,3+,3,,,,4+,3+,"Order: Tactical Reposition /
Marshal","Limited:2
Solo",SIF316/SIF316,10510,S04,Limited: *Your army may only include up to 2 Watch Marshals.*,,"Rising to the rank of Watch Marshal requires more than simple horsemanship and command authority. It requires a Watch Brother to have spent their time in the front lines and on long patrols beyond the Wall, enough to have seen every enemy the Watch must contend with and learning to deal with them effectively and decisively. Watch Marshals excel at getting the best out of their troops through pressing advantages in both attack and maneuver."
Night's Watch,"Coldhands, Mysterious Ally","Coldhands, Benjen Stark",5,Cavalry,5,[M]Longsword,3+,5,,,,3+,3+,"Order: Raven Flock /
Eye Of The Crow",,SIF310,10511,S04,Character: *May not be fielded in an army containing Benjen Stark.*,,"A mysterious specter that aids or hinders forces according to an unknown design, the entity known as Coldhands might be an ally one day and an enemy the next. He commands endless flocks of ravens to savage opponents with raking claws and battering wings, and rides a mighty elk into battle, where his own considerable prowess comes into play. He wears the armor and cloak of a Night’s Watch brother, though whether these were his in life or looted from a fallen foe, none can say. Even if cut down, Coldhands reappears on the field a short time later."
Night's Watch,Ranger Vanguards,,7,Cavalry,6,[M]Longsword,3+,7.5,,,,4+,5+,"Cavalry /
Ambush /
Outflank",,SIF312,10512,S06,,,"Night’s Watch Rangers are known for their ability to blend into the wilderness, lying in ambush for their enemies. Such assaults are even more devastating when delivered on horseback. Hiding cavalry proves tricky in most any terrain, but the Ranger Vanguards know the woods north of the Wall better than anyone. Thick copses of trees, hidden dells, and even mild depressions in the terrain provide plenty of territory from which to surprise foes."
Night's Watch,Shadow Tower Spearmen,,7,Infantry,5,[M]Spear,3+,7.7.4,,,,3+,5+,"Order: Set For Charge /
Unyielding",,SIF313,10513,2021-S03,,,"Guarding the Wall’s western end stands the Shadow Tower and the Black Brothers who stand their vigil. Like all Night’s Watch brothers, the Shadow Tower Spearmen are clad in black leather and darkened steel, suited for warmth against the North’s legendary cold. Spearmen make superior flank guards, adept at receiving enemy charges, whether that be from cavalry or infantry, and delivering punishing blows before their opponent closes range."
Baratheon,Stag Knights,,7,Infantry,5,[M]Stag’s Fury,3+,7.6.5,,,,4+,5+,"Order: Resilience /
Stag’s Fury",,SIF008/SIF803,10601,2021-S03,,,"Stag Knights form the core of Baratheon elite units, each one a noble in their own right and wearing the signature horned helmet allowed to these honored sers. Stag Knights are heavily armored, wearing plate mail as fine as anything the Lannisters might field and wielding a powerful two-handed war hammer capable of crushing armor and shattering bones with equal proficiency. Even when surrounded, Stag Knights fight with unwavering fury."
Baratheon,Baratheon Wardens,,5,Infantry,4,[M]War Hammer,4+,6.5.4,,,,3+,6+,"War Hammer /
Counterstrike",,SIF008/SIF008/SIF801,10602,2021,,,"While House Baratheon may be divided in its loyalties, they still draw from the same battlefield doctrines and training that served the united house in the time before the War of the Five Kings. Baratheon Wardens are heavily armored in full plate, wielding heavy shields and the signature Baratheon war hammers. Steadfast and sturdy, Wardens can be depended on as both vanguard and center, though speed is not among their strengths."
Baratheon,Baratheon Sentinels,,5,Infantry,5,[M]Double Hammers,4+,7.5.4,,,,4+,6+,"Order: Sentinel /
Double Hammers",,SIF008/SIF802,10603,2021-S03,,,"Although officially classified as medium infantry, the Baratheon Sentinels wear heavier armor than one might expect for a unit required to initiate or counter flanking maneuvers. Speed is the obvious trade-off, but most medium infantry cannot hold their ground as well, nor deliver such devastating assaults. In unskilled hands the war hammer is unwieldy, but for Sentinels, a well-timed strike from its heavy head can render plate armor useless."
Baratheon,Rose Knights,,7,Infantry,4,[M]Longsword,3+,7.6.5,,,,3+,5+,"Perseverance and Valor / 
Deadly Bloom / 
Loyalty: Renly Baratheon",,SIF811,10604,2021-S03,"Loyalty: **RENLY BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"As dedicated front-line units, the Rose Knights in service to King Renly come heavily armed and armored in the finest plate and brightest green that Renly’s extensive purse allows. Hard training and fierce loyalty to their king keep these troops standing and fighting, even in the face of dire wounds. A commander should take care to keep them from being surrounded, but Rose Knights can take the hardest hits and return them twice over."
Baratheon,R’hllor Faithful,,6,Infantry,6,[M]Sword Of The Faith,4+,7.6.4,,,,5+,4+,"Heart of Fire / 
Loyalty: Stannis Baratheon",,SIF808,10605,S04,"Loyalty: **STANNIS BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"Although no one questions their steadfast belief in R’hllor, those of Stannis’ troops known as the Faithful do not each possess their own Lightbringer, the fabled blazing sword of Azor Ahai. Instead, their blades are set ablaze with a mixture of oils that produce a strong heat, albeit for a brief period. While not heavily armored, their zealous conviction allows them to stand strong against any foe, ensuring that even if they fall they will inspire those around them."
Baratheon,Champions of The Stag,,8,Cavalry,4,[M]Champion’s Wrath,3+,6.4,,,,2+,6+,"Cavalry / 
Champion’s Wrath",,SIF804,10606,2021-S02,,,"In-keeping with the Baratheon doctrine of heavy arms and heavier armor, Champions of the Stag are knights in full plate mail atop massive destriers. These juggernauts have all the mobility of cavalry and the staying power of front-line units. Intelligent commanders are best served keeping them mobile to force engagements of their own choosing, but, if needed, Champions can hold the line for longer than most other cavalry."
Baratheon,Dragonstone Noble,,4,Cavalry,4,[M]Mastercraft Warhammer,3+,3,,,,2+,3+,"Order: Noble's Bolster /
Solo Rider /
Mastercraft Warhammer / 
Loyalty: Stannis Baratheon","Limited:2
Solo",SIF816,10607,S04,"Loyalty: **STANNIS BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties. Your army may only include up to 2 Dragonstone Nobles.*",,"Dragonstone Nobles are easily marked by their signature antlered helms, representing the House Baratheon sigil. Riding into battle on heavily armored mounts, and themselves encased in plate, Dragonstone Nobles are among the sturdiest individuals found on the battlefield. The more desperate the situation, the harder these fanatics battle. While they excel at locking down lighter troops, care must be taken to keep them from being encircled."
Baratheon,King’s Men,,7,Infantry,5,[M]King's Blade,3+,7.6.5,,,,4+,5+,"To The Last! /
King's Blade /
Loyalty: Stannis Baratheon",,SIF805,10608,S04,"Loyalty: **STANNIS BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"In the court of Stannis Baratheon, the King’s Men remain faithful to the Seven, which is the majority religion in Westeros. While at-odds with the so-called Queen’s Men who worship R’hllor, the two groups are not mutually hostile, though have adopted different training regimens. The King’s Men focus on the greatsword and what mobility their heavy armor allows, also carrying with them an unwavering conviction to the One True King Stannis Baratheon."
Baratheon,R’hllor Queen’s Men,,7,Infantry,4,[M]Longsword,3+,7.6.5,,,,3+,5+,"Order: Hold The Line! /
To The Last! /
Queen's Blade /
Loyalty: Stannis Baratheon",,SIF806,10609,S04,"Loyalty: **STANNIS BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"The Queen’s Men of Stannis Baratheon’s court are so-named not specifically for their dedication to Queen Selyse, but for their conversion to the R’hllor faith (though some speculate that their true loyalty lies more towards the Red Priestess Melisandre). Queen’s Men are heavily-armored elite vanguard units, capable of blunting nearly any enemy assault. While suffering the usual slowness of heavy troops, theirs is a center that will hold."
Baratheon,R’hllor Lightbringers,,6,Infantry,5,[RL]Fire Arrows,3+,7.6.4,[M]Daggers,5+,5.4.3,4+,6+,"Fire Arrows /
Loyalty: Stannis Baratheon",,SIF807,10610,2021-S01,"Loyalty: **STANNIS BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"In-keeping with the Baratheon doctrine of heavy armor, a R’hllor Lightbringer’s kit includes a scale shirt and plate helm, making them more capable than most archery units of withstanding direct assault. The extra protection aids in wielding their most potent weapon: fire. Lightbringer arrows are dipped in oil and ignited seconds before firing. The oil is sticky, and while it burns out quickly, can easily set materials ablaze on impact."
Baratheon,Thorn Watch,,6,Infantry,6,[RS]Watcher's Crossbow,3+,6.5.4,[M]Longsword,3+,7.5.4,5+,6+,"Watcher's Crossbow/
Swift Strike/
Regroup / 
Loyalty: Renly Baratheon",,SIF812,10611,2021-S03,"Loyalty: **RENLY BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"Thorn Watch crossbowmen are kitted out with mail shirts augmented with plate, longswords instead of the traditional daggers or short blades of most archers, and unique crossbows. Indeed, they undergo more training to battle enemies in melee than most archers ever see. That said, the crossbow is their primary weapon, itself capable of puncturing even heavy armor, and wise commanders will employ them appropriately."
Baratheon,Riders of Highgarden,,6,Cavalry,6,[M]Highgarden Lance,4+,5.4,,,,5+,6+,"Cavalry /
Highgarden Lance /
Loyalty: Renly Baratheon",,SIF813,10612,S05,"Loyalty: **RENLY BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"House Tyrell is steeped in chivalric traditions, and King Renly’s alliance to them by way of Lady Margaery has earned the loyalty of the famed Riders of Highgarden. While not as heavily armored as most cavalry, the Riders can mount a charge as devastating as anything other factions can muster. A commander should guard against allowing them to be bogged down in a protracted melee, but even then, their loyalty and bravery shine through."
Baratheon,Highgarden Pikemen,,5,Infantry,5,[M]Spear,4+,7.6.4,,,,4+,6+,"Perseverance and Valor /
Coordinated Assault /
Loyalty: Renly Baratheon",,SIF814,10613,2021-S03,"Loyalty: **RENLY BARATHEON**
*Your army may never contain Units or Attachments with different Loyalties.*",,"Highgarden is House Tyrell’s seat of power. Aiding House Baratheon’s claim on the Iron Throne, House Tyrell sent their Highgarden Pikemen. These highly trained fighters create a mobile wall of death on the battlefield, trained to perfection in the use of their pikes. Though lightly armored, the perseverance of the troops is without equal, making them a mainstay on the battlefield. Opponents can never truly count them out until all have been defeated."
Baratheon,Rainbow Guard,"Bryce Caron, Parmen Crane, Emmon Cuy, Robar Royce, Guyard Morrigen, Loras Tyrell, Brienne",6,Infantry,5,[M]Masterwork Blade,2+,7.7,,,,3+,4+,"Order: Resilience /
Renly's Retinue /
Rally Cry /
Must be attached to 'Renly Baratheon, King in the South'",Rules: 50601,SIF820,10614,S04,"Character: *May only be fielded in an army containing 'Renly Baratheon, King in the South', he must be attached to this unit. Your army may not contain Loras Tyrell. Your army may not contain Brienne.*",,"King Renly Baratheon’s Rainbow Guard are formed of the most formidable individuals to claim the youngest Baratheon as their liege and king. When taking the field together, they form the deadly core of Renly’s force, capable of holding the line or flanking vulnerable units. Perhaps more importantly they serve as a symbol of the hope and faith which King Renly plans to use in uniting all of Westeros under his banner."
Baratheon,Baratheon Halberdiers,,6,Infantry,5,[M]Halberd,4+,7.7.4,,,,3+,6+,"Order: Taunt /
Halberd",,SIF817,10615,2021,,,"Those facing House Baratheon have a conundrum. Their armor is thick, their forces resolute, and when accompanied by Halberdiers, even the inherent weakness of heavy infantry versus cavalry is nullified. Furthermore, any hesitance or failure to commit on the part of a cavalry unit (or other similar force) results in easily exploited confusion. Any competent Baratheon commander will find many uses for Halberdiers in their lines."
Baratheon,Crownland Scouts,,6,Cavalry,5,[M]Longsword,4+,7.4,,,,4+,6+,"Order: Mark Target /
Order: Tactical Reposition /
Cavalry",,SIF818,10616,2021,,,"No army serves its king by blundering blindly about the countryside. The more skilled their scouting forces,  the better a commander can distribute their troops for an impending attack. Moderately armored, the Crownland Scouts act not only as vanguard for Baratheon forces but capable fighters in their own right. Whether spotting enemy weaknesses for their own use or repositioning their allies, the Crownland Scouts are a valued addition to any force."
Targaryen,Dothraki Screamers,,6,Cavalry,6,[M]Screamer's Arakh,3+,7.4,,,,5+,5+,"Cavalry /
Furious Charge/
Screamer's Arakh",,SIF006/SIF006/SIF601,10701,2021-S03,,,"While it would be easy to categorize the Dothraki as a mindless horde of screaming barbarians, their method of attack looks precisely as such to the untrained eye. A Dothraki khalasar can have many thousand horsemen, even the least of which has spent more of his life in the saddle than otherwise. Although lightly armored, Dothraki horsemanship is honed to such a degree that it’s difficult to land a blade on them, even when engaged in close melee."
Targaryen,Dothraki Outriders,,6,Cavalry,6,[RS]Outrider’s Bow,4+,7.4,[M]Outrider’s Blade,4+,5.4,5+,5+,"Cavalry /
Outrider’s Bow",,SIF006/SIF603,10702,2021-S03,,,"As scouts, the Dothraki Outriders have few equals on their home terrain, but once battle is engaged, the true threat emerges: ranged combat power delivered from horseback. While typical archers plague any foot-bound force, the ability to strike from a distance, then whisk away on horseback gives the Dothraki a powerful capability that can only be countered by swift cavalry or archers. That said, Outriders should take care to remain mobile."
Targaryen,Dothraki Veterans,,8,Cavalry,6,[RS]Shortbow,4+,7.4,[M]Dothraki Arakh,3+,7.4,4+,5+,"Order: Swift Retreat /
Order: Quick Fire / 
Cavalry",,SIF006/SIF602,10703,S04,,,"Superior Dothraki horsemanship finds its pinnacle in the Dothraki Veterans. Adept with both blade and bow, Veterans soften up their chosen prey with deadly arrows before a brutal charge, slashing left and right with their razor-sharp arakhs. As adept as Dothraki horsemanship can be, the Veterans take this skill to unimaginable heights, with man and mount moving in perfect precision even in the midst of the fiercest melee."
Targaryen,"Jorah Mormont, The Wandering Knight",Jorah Mormont,4,Cavalry,6,[M]Longsword,3+,3,,,,4+,3+,"Order: Scout Openings /
Westerosi Rider",Solo,SIF006,10704,S05,,“There are ghosts everywhere. We carry them with us wherever we go.”,"Whatever one thinks of Ser Jorah Mormont’s personal dealings and checkered past, his skill-at-arms earned him respect among the Dothraki, no simple feat. As a veteran of multiple wars and later a sellsword, his expert eye can pick out vulnerabilities in the enemy ranks for nearby troops to exploit. Ser Jorah prefers to remain mounted in combat, and his horsemanship exceeds many of his Western counterparts."
