Id,Translated Name,Attack 1,Attack 2,Requirement,Quote,Lore,Version
10321,Chasseurs de La Grève Glacée,Harpon,Harpon,,,"Les hommes du Clan du Morse maîtrisent l’art de la chasse qu’ils pratiquent dans les lointaines étendues glacées qui s’étendent au-delà du Mur. Désormais à la recherche d’un climat plus doux et de pâturages plus verts, ils descendent vers le sud en mettant leur expertise au service du Peuple Libre. Leurs robustes harpons sont capables d’embrocher aussi bien les soldats ennemis que les bêtes les plus sauvages. Leur habileté à maintenir leurs proies sous pression, couplée à une très grande mobilité, leur permet de surprendre l’ennemi en l’attaquant là où il s’y attend le moins.",S04
10322,Géants Lanceurs d’Épieux,Épieu de Géant,Épieu de Géant,,,"Qu’il y a-t-il de pire dans une bataille que de devoir affronter des géants ? Se retrouver face à des géants qui lancent des épieux de la taille d’un tronc d’arbre. Grâce à son alliance avec les géants, le Peuple Libre peut désormais aligner leurs Lanceurs d’Épieux, une véritable artillerie sur pattes. Leurs armes sont certes rudimentaires, mais une hampe de bois aussi épaisse que le torse d’un homme ne requiert guère de finesse. Toutefois, ces géants peuvent rapidement se retrouver débordés au corps à corps et doivent donc être protégés.",S04
10401,Coupe-Jarrets de la Maison Bolton,Aggression Impitoyable,,,,"Malgré leur équipement léger, les Coupe-Jarrets de la Maison Bolton jouissent d’une réputation de brutalité et d’efficacité impitoyable qui leur permet de répandre la peur dans les rangs de troupes ennemies bien mieux équipées. Leurs masses à pointes peuvent broyer leurs ennemis, mais c’est en tant qu’instruments de terreur qu’elles se révèlent les plus utiles. Les Coupe-Jarrets de la Maison Bolton se plaisent à humilier leurs ennemis vaincus ou, pire encore, à les capturer pour leur faire subir un sort plus terrible encore",2021-S01
10402,Filles du Bâtard de la Maison Bolton,Arc de Pisteur,Lames et Crocs,,,"Dressées à acculer et à abattre la plus lourde des infanteries, les Filles du Bâtard excellent dans les attaques de flanc et dans la traque d’adversaires en fuite. Bien qu’elles ne soient pas assez protégées pour soutenir un assaut prolongé, elles se complaisent à fondre sur les ennemis blessés par les flèches de leurs maîtres. Une forte récompense attend le dresseur qui aura su capturer un officier ennemi afin que Ramsay Bolton puisse « se divertir » après la bataille.",2021
10403,Écorchés de la Maison Bolton,Fléau de Guerre,,,,"Dans la Guerre des Cinq Rois, ceux que l’on nomme les Écorchés forment les rangs d’une cavalerie plus lourde que la plupart de celles combattant sous des bannières pourtant plus prestigieuses. Équipés de robustes armures d’acier (noirci, bien évidemment), de grands boucliers et de lourdes bardes pour leurs chevaux, les Écorchés peuvent effectuer des charges dévastatrices et tenir le front pour un temps limité. Le fléau de guerre, leur arme de prédilection, est capable d’anéantir les meilleures défenses, mais c’est encore leur apparence terrifiante qui constitue leur meilleur atout.",2021-S02
10404,Gardes Noirs de la Maison Bolton,Fléau à Pointes,,,,Tous les adversaires des Gardes Noirs de la Maison Bolton ont eu vent de leur cruauté. Leurs terribles fléaux à pointes peuvent défoncer les boucliers les plus solides. Les Gardes Noirs constituent les troupes les plus lourdes des forces de la Maison Bolton et sont donc capables de prendre et de tenir n’importe quelle position sur le champ de bataille.,2021
10405,Tirailleurs des Pitres Sanglants,Lame de Pitre,,,,"En dépit de leur apparence outrancière, les Pitres Sanglants forment une redoutable compagnie de mercenaires dont la cruauté est réputée excessive, y compris parmi les mercenaires les moins recommandables. Leur seule loyauté va à l’argent, mais si vous y mettez le prix, ils seront capables d’occuper n’importe quelle position dans votre armée. Les Tirailleurs portent des armes et des armures légères, ce qui leur donne la mobilité nécessaire pour se livrer à des attaques rapides sur les flancs, mais ils devront toutefois être mis à l’abri des charges directes.",S04
10406,Mercenaires Corbeaux Tornade,Épée Longue,,Réactivité : *Réduisez le coût de 1 Attachement de cette unité de 1.*,,"Bien que les Corbeaux Tornade ne soient pas toujours loyaux envers leurs chefs, leurs employeurs, voire envers eux-mêmes, leur dévouement absolu à l’argent est indiscutable. Lorsqu’on y met le prix, les Mercenaires Corbeaux Tornade se révèlent être une infanterie moyenne efficace, et sont capables de tenir une aile ou d’effectuer eux-mêmes des manœuvres de flanc. Tant que l’argent coule à flots, leur employeur, quel qu’il soit, peut compter sur leur professionnalisme sans faille.",S04
10407,Archers Corbeaux Tornade,Arc Long de Mercenaire,Épée Courte,,,"Que ce soit avec une lame, un arc ou les deux, un Corbeau Tornade reste un Corbeau Tornade. Il n’est motivé que par l’argent et une petite rallonge peut suffire à lui faire accomplir des miracles. Avec leurs arcs longs recourbés et leurs flèches à longue portée, les Archers Corbeaux Tornade sont des spécialistes du combat à distance. Ils ne brillent pas au corps à corps, même si leurs épées courtes peuvent occasionnellement leur permettre de repousser un assaillant affaibli. Un général avisé saura les tenir éloignés de la cavalerie ou de troupes débordant par le flanc.",S04
10408,Chevaucheurs de Zébrules des Pitres Sanglants,Armement Disparate,,,,"Montée à dos de Zébrule, la cavalerie des Pitres Sanglants fait preuve d’un flair insolent. Leurs montures pour le moins inhabituelles, originaires d’Essos, sont issues du croisement d’équidés rayés et de chevaux. Les Zébrules sont capables de survivre de très longues périodes avec très peu d’eau et de nourriture et ils se montrent tout aussi vifs que leurs homologues occidentaux. Dans les rangs des Pitres Sanglants, les Chevaucheurs de Zébrules font office de cavalerie légère, débordant par les flancs pour charger les unités bloquées et les archers exposés.",2021-S03
10409,Derviches Corbeaux Tornade,Frappe Éclair,,,,"Payez à un Derviche Corbeau Tornade une semaine de solde, et vous aurez à votre disposition tirailleur aguerri et endurci, apte à se déplacer rapidement en armure moyenne afin de frapper les positions ennemies les plus exposées. Les Corbeaux Tornade sont connus pour n’être fidèles qu’à l’argent et cette sinistre réputation s’étend jusqu’à leurs soldats les mieux entraînés. Pourtant, les employeurs qui voient les derviches en action ont rarement des raisons de se plaindre, car ces guerriers redoutables sont capables de mettre en pièces les flancs ennemis avant de se replier en toute sécurité, annihilant toute velléité de contre-attaque.",S04
10410,Chevaliers Errants,Lame de Chevalier,,,,"Les Chevaliers Errants parcourent le monde à la recherche d’un emploi. Ces nobles sans terre, qui n’ont pour seuls biens que leurs armes, leur armure et leur destrier, sont souvent rejetés et méprisés par leurs pairs, mis à part en temps de guerre. Quel que soit leur camp dans la Guerre des Cinq Rois, les nobles trouvent toujours une utilité à un groupe d’une demi-douzaine de chevaliers mercenaires, bien entraînés et déjà équipés. Néanmoins, leur équipement est rarement à la hauteur de celui des véritables chevaliers.",2021
10411,Maîtres d'Armes de la Compagnie Dorée,Frappe Tactique,,,,"La Compagnie Dorée est bien connue pour sa devise, « Notre parole vaut de l’or ». Celui qui les engage sait pertinemment qu’une fois sur le champ de bataille, ils savent rendre la monnaie de leur pièce. Les Maîtres d’Armes de la Compagnie Dorée ont reçu un entraînement intensif, et sont experts dans l’art d’exploiter tout point faible de la défense adverse. Ils sont réputés pour ne jamais reculer, même lorsqu’ils sont confrontés à des situations désespérées. Louer les services des Maîtres d’Armes est un investissement sûr pour celui dont les coffres sont suffisamment remplis.",S04
10412,Arbalétriers de la Compagnie Dorée,Arbalète,Épée Courte,,,"La Compagnie Dorée, le groupe de mercenaires le plus fiable des Citées Libres, propose les services de plusieurs troupes de combat. Les Arbalétriers sont l’une d’entre elles. D’une résolution sans faille, ces tireurs émérites attendent patiemment que l’ennemi se rapproche pour faire pleuvoir leur déluge de mort. Leurs carreaux transpercent les armures avec aisance, notamment à courte portée. Quiconque cherche à renforcer ses troupes fera une bonne affaire en les engageant.",2021-S02
10413,Éléphant de Guerre de la Compagnie Dorée,Écrasement,,*Votre armée ne peut inclure qu’un seul Éléphant de Guerre pour chaque unité d’Infanterie de la Compagnie Dorée.*,,"Face à la charge de ces gigantesques mastodontes, même les soldats les plus aguerris se retrouvent démunis. Les Éléphants de Guerre de la Compagnie Dorée sont capables d’enfoncer n’importe quelle ligne ennemie avec une brutalité sans égale. Ils semblent invulnérables lorsqu’ils piétinent sauvagement leurs adversaires ou qu’ils les fauchent de leurs défenses. Toutefois, ce ne sont que des animaux et, sans leur dresseur à proximité, ils s’arrêtent parfois en plein élan, désemparés.",2021-S03
10414,Épées Louées de Lys,Lames de Pirate,,,,"Sur les îles-forteresses de Lys, les hautes murailles et les incessantes patrouilles d’Épées Louées suffisent à dissuader tout éventuel attaquant. Les Épées louées ne sont toutefois rien d’autre que des pirates qui offrent leurs services au plus offrant. La gloire ne les intéresse pas. Ils ne sont motivés que par le pillage et le paiement de leur solde une fois de retour à leur port d’attache.",S04
10415,Freux,Armes de Récupération,,,,"Si l’on excepte leur étonnante loyauté, les Freux de Tyrion Lannister ne sont guère différents des autres tribus montagnardes et des pillards ordinaires. Bien qu’ils soient plus attachés à la fortune de Tyrion qu’à sa propre personne, ils ont su rester fidèles, même lorsque la trahison aurait constitué une option plus lucrative. En tant que mercenaires, ces troupes se révèlent tout à fait rentables si elles sont employées en tant qu’éclaireurs ou pour harceler les flancs ennemis. Leur équipement léger ne leur permet pas de soutenir un engagement prolongé en première ligne.",2021
10501,Vétérans de la Garde,Armes Doubles,,,,"Bien que l’on puisse compter sur les Frères Jurés pour tenir une position, les Vétérans possèdent l’armement et l’expertise nécessaires pour faire progresser le front. Ce sont des combattants aguerris, quasiment impossibles à mettre en déroute et dotés du meilleur équipement que les Constructeurs peuvent forger. Même les soldats les plus chevronnés des Sept Royaumes auraient du mal à les arrêter, et encore plus à les vaincre.",2021-S03
10502,Frères Jurés,Espadon,,,,"Les Frères Jurés sont les piliers de la Garde de Nuit, affrontant les Sauvageons et les horreurs Nordiennes avec une maîtrise et un stoïcisme résultant d’un long entraînement. Solidement armés grâce à leurs propres forges, les Frères Jurés disposent d’un meilleur équipement que la plupart des soldats des autres grandes Maisons (à l’exception de ceux de la Maison Lannister, bien évidemment). Lorsqu’il s’agit de tenir une position, même si la situation semble désespérée, vous pouvez compter sur les Frères Jurés.",2021
10503,Patrouilleurs Pisteurs,Arc Courbe,Épée Courte,,,"Les Patrouilleurs de la Garde de Nuit comportent de nombreuses unités aux compétences différentes, mais ce sont les Pisteurs qui personnifient le mieux leur capacité de perception. Cavaliers éclaireurs au dévouement sans faille, les Pisteurs sont chargés de fournir des renseignements sur l’ennemi en évaluant sa force, son nombre et sa position. Sur le champ de bataille, leur rôle consiste également à débusquer les adversaires les plus vulnérables. Un général avisé saura tenir compte de leurs conseils afin d’exploiter au mieux les faiblesses de l’adversaire.",2021-S03
10504,Fantôme,Griffes et Crocs,,*Ne peut être recruté que dans une armée qui comprend Jon Snow.*,,"Tapi dans le sillage de Jon Snow telle une ombre menaçante, le loup-garou albinos appelé Fantôme n’aurait pu être plus justement nommé. Sur le champ de bataille, Fantôme évolue plus ou moins librement, grâce à sa compréhension instinctive de la volonté de son maître. Pouvant atteindre des pointes de vitesse ahurissantes, Fantôme est aussi capable de déchirer une armure de ses puissantes mâchoires. Il se révèle particulièrement utile pour les attaques de flanc ou pour poursuivre les troupes en déroute. En effet, se faire charger par un loup-garou a de quoi glacer le sang de bien des hommes.",2021
10505,Patrouilleurs Chasseurs,Arc de Chasseur,Frappe Éclair,,,"Œuvrant souvent de concert avec les Pisteurs, les Patrouilleurs Chasseurs sont passés maîtres dans l’élimination de cibles-clés. Si la furtivité est rarement de mise lors d’une bataille ouverte, ils peuvent cependant frapper rapidement et éliminer les adversaires affaiblis ou vulnérables sans leur laisser une chance de répliquer. Un bon général prendra soin d’éviter qu’ils soient coincés au corps à corps, une situation délicate pour la plupart des unités d’infanterie légère.",2021-S03
10506,Scorpion et Équipe de Constructeurs,Baliste,Armes de l'Équipage,Limité : *Votre armée ne peut pas contenir plus de 2 Scorpions et Équipage de Constructeurs.*,,"Les Constructeurs de la Garde de Nuit sont réputés pour leur ingéniosité et le Scorpion en est la parfaite illustration. Les Constructeurs sont capables d’assembler cet engin mobile à l’aide de quelques pièces mécaniques et du bois à leur disposition. Le Scorpion tire d’immenses carreaux à longue portée tout en conservant une grande précision. Un seul projectile peut balayer des rangs entiers. Toutefois, le Scorpion est peu maniable et le mettre en position requiert du temps.",S04
10507,Mangonneau des Constructeurs,Tir de Rocher,Armes de l'Équipage,Limité : *Votre armée ne peut pas contenir plus de 2 Mangonneaux des Constructeurs.*,,"Les équipages de Constructeurs sont versés dans l’art de fabriquer des Mangonneaux mobiles et de les utiliser sur le champ de bataille. Ils insistent sur le fait que ces engins ne sont pas des catapultes, bien que les principes de base des deux engins soient similaires. Les catapultes sont déployées lors de conflits plus importants et nécessitent généralement des munitions spéciales. La précision mortelle des Mangonneaux permet à un équipage compétent de faire pleuvoir sur les formations ennemies des projectiles contre lesquels même l’infanterie la plus lourde est sans défense.",S04
10508,Arbalétriers Constructeurs,Arbalète,Épée Courte,,,"Même si la tâche principale des Constructeurs demeure la maintenance du Mur et de ses fortifications, ils sont également responsables de l’équipement de toute la Garde de Nuit. Ils ne sont donc généralement pas placés en première ligne sur le champ de bataille. Mais face à certains ennemis, il est bon que chaque homme ait une arme sous la main. L’entretien des arbalètes étant plus délicat que celui de la plupart des armes, il était logique d’en équiper les Constructeurs et d’utiliser ces derniers en tant qu’appui au feu de deuxième ligne.",2021-S01
10509,Recrues,Armes Simples,,,,"Généralement dépenaillées et souvent indisciplinées, les Recrues de la Garde de Nuit sont la lie de tout Westeros. Bien que la Garde ait pour habitude d’entraîner ses recrues avant de les envoyer au front, il peut arriver que chaque homme valide soit appelé à défendre le Mur. Contre un adversaire de taille, un général avisé saura ne pas trop se reposer sur les Recrues, susceptibles d’être mises en déroute au premier signe de résistance.",2021-S01
10510,Maréchal de la Garde,Épée Longue,,Limité : *Votre armée ne peut pas contenir plus de 2 Maréchaux de la Garde.*,,"Pour accéder au grade de Maréchal de la Garde, il faut plus que de simples talents de cavalier et de meneur d’hommes. Le Frère Juré doit avoir servi en première ligne et avoir participé à de longues patrouilles au-delà du Mur pendant suffisamment longtemps pour connaître tous les ennemis potentiels de la Garde et savoir comment les affronter avec efficacité et détermination. Les Maréchaux de la Garde savent tirer le meilleur parti de leurs troupes, en exploitant au mieux leur potentiel offensif et leur mobilité.",S04
10511,"Mains-Froides, Allié Mystérieux",Épée Longue,,*Ne peut pas être recruté dans une armée qui contient Benjen Stark.*,,"Allié un jour, ennemi le lendemain, l’être connu sous le nom de Mains-Froides est un spectre mystérieux aux motivations inconnues qui peut aussi bien soutenir les troupes que les harceler. Les nuées de corbeaux qu’il commande fondent sur ses adversaires, les noyant dans une mer d’ailes battantes et de griffes acérées. Au combat, il monte un gigantesque orignac et fait preuve d’une formidable prouesse martiale. Il porte l’armure et le manteau noir des frères de la Garde de Nuit, bien que nul ne puisse affirmer s’il s’agit des siens ou s’ils ont été pris sur la dépouille d’un ennemi. Lorsqu’il a été vaincu, Mains-Froides réapparaît peu après sur le champ de bataille.",S04
10512,Éclaireurs Patrouilleurs,Épée Longue,,,,"Les Patrouilleurs de la Garde de Nuit sont réputés pour leur capacité à se fondre dans la nature afin de tendre des embuscades à leurs ennemis. De tels assauts sont encore plus dévastateurs lorsqu’ils menés par des cavaliers. Dissimuler des chevaux se révèle délicat dans la plupart des environnements, mais les Éclaireurs Patrouilleurs connaissent la forêt qui s’étend au nord du Mur mieux que quiconque. Les épais taillis, les ravines cachées et même les petites cuvettes offrent de nombreuses cachettes depuis lesquelles ils peuvent surprendre leurs adversaires.",2021-S02
10513,Lanciers de Tour Ombreuse,Lance,,,,"Le château de Tour Ombreuse se dresse à l’extrémité occidentale du Mur. Du haut de ses remparts, les Frères Noirs veillent. À l’instar de tous les membres de la Garde de Nuit, les Lanciers de Tour Ombreuse sont vêtus d’acier noirci, ainsi que de cuir noir adapté aux grands froids légendaires du Nord. Les Lanciers font d’excellents flanc-gardiens, capables de recevoir des charges ennemies, qu’elles soient de cavalerie ou d’infanterie, en leur infligeant des coups de lance avant même de se trouver à portée de leur adversaire.",2021-S03
10601,Chevaliers du Cerf,Fureur du Cerf,,,,"Les Chevaliers du Cerf constituent le coeur des unités d’élite de la Maison Baratheon. Chacun d’entre eux est d’ascendance noble et porte le célèbre casque à cornes réservé aux Sers les plus honorables. Lourdement protégés, les Chevaliers du Cerf portent des cuirasses de plaques aussi efficaces que celles des Lannister et brandissent de redoutables marteaux de guerre à deux mains, capables de broyer les os comme les armures. Même encerclés, les Chevaliers du Cerf combattent avec une fureur irréductible.",2021-S03
10602,Gardiens Baratheon,Marteau de Guerre,,,,"Même si les loyautés de la Maison Baratheon sont divisées, tous ses membres suivent le même entraînement et puisent leur force dans d’anciennes doctrines de combat qui avaient cours à l’époque où la Maison était unie, avant la Guerre des Cinq Rois. Les Gardiens Baratheon portent de lourdes armures de plaques, de grands boucliers, ainsi que les célèbres marteaux de guerre des Baratheon. Résolus et robustes, les Gardiens se montrent aussi efficaces à l’avant-garde qu’au centre, bien que la vitesse ne soit pas leur fort.",2021
10603,Sentinelles Baratheon,Doubles Marteaux,,,,"Bien qu’officiellement classées en infanterie moyenne, les Sentinelles Baratheon sont équipées d’une armure plus lourde que celles généralement portées par des unités chargées de mener ou de contrer des manœuvres de flanc. Leur mobilité s’en trouve évidemment réduite, mais, contrairement à la plupart des unités d’infanterie moyenne, elles tiennent remarquablement bien leurs positions et portent des assauts dévastateurs. Le marteau de guerre se révèle délicat à manier pour quiconque ne possède pas l’entraînement adéquat, mais, entre les mains des Sentinelles, nulle armure ne résiste à sa frappe destructrice",2021-S03
10604,Chevaliers de la Rose,Épée Longue,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"En tant qu’unités de première ligne au service du roi Renly, les Chevaliers de la Rose, vêtus d’un vert éclatant, sont lourdement armés et équipés. Grâce aux coffres pleins de Renly, ils ont accès aux meilleures armures qui soient. Un entraînement intensif et une loyauté farouche envers leur roi permettent à ces troupes de faire front sans faillir, même en cas de blessures graves. Un général avisé doit cependant veiller à ce que les Chevaliers de la Rose ne se retrouvent pas encerclés, bien qu’ils soient capables d’encaisser les assauts les plus violents et de riposter deux fois plus fort.",2021-S03
10605,Fidèles de R'hllor,Lame de la Foi,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"Bien que personne ne puisse remettre leur foi inébranlable en R’hllor en question, les soldats de Stannis connus sous le nom de Fidèles ne possèdent pas chacun leur propre Illumination, la légendaire épée flamboyante d’Azor Ahai. Au lieu de cela, leurs lames sont enflammées par un mélange d’huiles qui produisent une forte chaleur pendant une courte période. S’ils ne sont pas lourdement protégés, leur conviction zélée leur permet de tenir tête à n’importe quel ennemi et garantit que même s’ils tombent au combat, ils inspireront ceux qui les entourent.",S04
10606,Champions du Cerf,Colère du Champion,,,,"Conformément à la doctrine Baratheon qui préconise de porter des armes lourdes et des armures qui le sont plus encore, les Champions du Cerf sont équipés d’ensembles de plates complètes et montés sur de formidables destriers. Ces colosses disposent de toute la mobilité qu’offre la cavalerie, alliée à la trempe des unités de première ligne. Les généraux avisés sauront profiter de cette mobilité afin que les Champions puissent engager les unités de leur choix, mais si le besoin s’en fait sentir, ces chevaliers sont capables de tenir la ligne de front bien plus longtemps que la plupart des autres unités de cavalerie.",2021-S02
10607,Noble de Peyredragon,Colère Noble,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.
Votre armée peut inclure un maximum de 2 Nobles de Peyredragon.*",,"Les Nobles de Peyredragon sont aisément reconnaissables grâce aux bois de cerf, l’emblème de la Maison Baratheon, qui ornent leurs casques. Vêtus de la tête aux pieds d’armures de plates et fonçant au combat sur leurs montures lourdement caparaçonnées, les Nobles de Peyredragon font partie des guerriers les plus résistants que l’on puisse rencontrer sur un champ de bataille. Plus la situation est désespérée, plus ces fanatiques combattent farouchement. Bien qu’ils excellent à immobiliser des troupes plus légères, il est important de veiller à ce qu’ils ne se retrouvent pas encerclés.",S04
10608,Hommes du Roi,Lame du Roi,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"À la cour de Stannis Baratheon, les Hommes du Roi font partie de ceux qui restent fidèles aux Sept, la religion la plus répandue dans tout Westeros. S’ils ne partagent pas les convictions des Hommes de la Reine qui vénèrent R’hllor, ils ne sont pas non plus leurs ennemis, bien que les deux groupes aient des méthodes d’entraînement différentes. Les Hommes du Roi se spécialisent dans l’utilisation de l'épée à deux mains, en essayant de rester aussi mobiles que le permettent leurs armures lourdes. Ils se démarquent également par leur loyauté indéfectible envers le seul roi véritable, Stannis Baratheon.",S04
10609,Hommes de la Reine de R'hllor,Épée Longue,,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"Les Hommes de la Reine de la cour de Stannis Baratheon ne doivent pas tant leur titre à leur dévouement envers la reine Selyse qu’à leur conversion à la foi de R’hllor (certains vont jusqu’à prétendre que leur véritable allégeance va à Mélisandre, la Prêtresse Rouge). Les Hommes de la Reine constituent une unité d’élite de première ligne, lourdement équipée pour soutenir des assauts de n’importe quel adversaire. Bien qu’ils souffrent de la lenteur inhérente aux troupes lourdes, les Hommes de la Reine font preuve d’une incroyable résistance.",S04
10610,Illuminés de R'hllor,Flèches Enflammées,Dagues,"Loyauté : **STANNIS BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"Perpétuant la tradition Baratheon des armures lourdes, les Illuminés de R’hllor sont équipés de cottes d’écailles et de casque de plates, ce qui leur permet d’encaisser les assauts ennemis beaucoup plus efficacement que la plupart des archers. Grâce à cette protection supplémentaire, ils peuvent mettre en valeur leur meilleur atout : le feu. Les flèches des Illuminés sont enduites d’huile et allumées juste avant le tir. L’huile est particulièrement collante et, même si elle se consume rapidement, elle peut facilement mettre le feu aux matériaux touchés.",2021-S01
10611,Garde des Épines,Arbalète du Gardien,Épée Longue,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"Les arbalétriers de la Garde des Épines sont équipés de mailles renforcées de plaques, d’épées longues au lieu des poignards ou lames courtes que portent habituellement les archers, et d’arbalètes exceptionnelles. En effet, ils sont bien plus entraînés au combat en mêlée que la plupart des archers. Cela dit, l’arbalète reste leur arme principale, capable de perforer de lourdes armures, et les généraux avisés sauront les employer de manière appropriée.",2021-S03
10612,Cavaliers de Hautjardin,Lance,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"House Tyrell is steeped in chivalric traditions, and King Renly’s alliance to them by way of Lady Margaery has earned the loyalty of the famed Riders of Highgarden. While not as heavily armored as most cavalry, the Riders can mount a charge as devastating as anything other factions can muster. A commander should guard against allowing them to be bogged down in a protracted melee, but even then, their loyalty and bravery shine through.",2021-S01
10613,Piquiers de Hautjardin,Piques,,"Loyauté : **RENLY BARATHEON**
*Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.*",,"La Maison Tyrell est bien ancrée dans les traditions chevaleresques, et l’alliance du Roi Renly avec la famille de Lady Margaery a permis de gagner la loyauté des célèbres Cavaliers de Hautjardin. Bien qu’ils ne soient pas aussi caparaçonnés que les autres troupes à cheval, les Cavaliers de Hautjardin peuvent déclencher une charge tout aussi dévastatrice que celles des autres factions. Un général avisé devra se garder de les laisser s’enliser en mêlée. Néanmoins, même en de telles circonstances, ils feront preuve d’une loyauté et d’une bravoure sans faille.",2021-S03
10614,Garde Arc-en-Ciel,Lames de Maître,,"*Ne peut être recrutée que dans une armée qui comprend Renly Baratheon, Roi du Sud. Renly doit être attaché à cette unité. Vous ne pouvez pas inclure Loras Tyrel. Vous ne pouvez pas inclure Brienne.*",,"La Garde Arc-en-Ciel du Roi Renly Baratheon réunit ses plus redoutables et fidèles lieutenants. Ces chevaliers sont au service du cadet des Baratheon et lui ont prêté allégeance. Lorsqu’ils se rassemblent sur le champ de bataille, ils constituent le noyau dur des forces de Renly, capables de tenir la ligne de front comme de prendre de flanc les ennemis à découvert. Mais le plus important est peut-être qu’ils incarnent l’espoir et la foi envers la cause du Roi Renly, ainsi que son ambition d’unifier tout Westeros sous sa bannière.",S04
10615,Hallebardiers Baratheon,Hallebarde,,,,"Quiconque affronte la Maison Baratheon se retrouve face à un dilemme. Elle dispose de troupes résolues dotées de solides armures, et le soutien des Hallebardiers compense la faiblesse inhérente de l’infanterie lourde face à la cavalerie. De plus, toute hésitation ou manque d’engagement de la part d’une unité de cavalerie (ou d’une force similaire) entraîne une confusion facilement exploitable. Tout commandant compétent de la Maison Baratheon saura trouver de multiples avantages à l’utilisation d’Hallebardiers dans ses rangs.",2021
10701,Hurleurs Dothraki,Arakh Dothraki,,,,"Il est tentant de considérer les Dothraki comme une bande de barbares hurlants et sans cervelle, car pour un oeil non averti, c’est exactement ce qu’évoquent leurs tactiques de combat. Un khalasar Dothraki peut réunir plusieurs milliers d’hommes et chacun d’entre eux a passé plus de temps sur sa selle que sur ses deux jambes. Bien que les Dothraki ne soient que légèrement protégés, leur habileté à cheval est telle qu’il est difficile de leur assener un coup d’épée, même lorsqu’ils sont engagés dans un corps à corps.",2021-S03
10702,Cavaliers Dothraki,Arc de Cavalerie,Lame de Cavalerie,,,"Peu d’éclaireurs sont capables de rivaliser avec les Cavaliers Dothraki sur leur propre terrain, mais c’est lorsque la bataille a commencé qu’ils révèlent toute leur valeur : celle d’une unité de tir mobile. Là où la plupart des archers classiques s’en prennent à l’infanterie adverse, les Cavaliers Dothraki sont capables de décocher une volée de flèches, puis de se mettre hors de portée de l’ennemi. Seuls d’autres archers ou des cavaliers légers peuvent espérer les contrer. En conséquence, les cavaliers Dothraki doivent à tout prix rester mobiles.",2021-S03
10703,Vétérans Dothraki,Arc Court,Arakh Dothraki,,,"Les Vétérans constituent l’élite de la cavalerie Dothraki. Aussi à l’aise à l’épée qu’à l’arc, les Vétérans affaiblissent leurs proies avec leurs flèches avant de les charger férocement, découpant leurs ennemis à grands moulinets de leurs arakhs tranchants comme des rasoirs. Tous les Dothraki sont des cavaliers hors pair, mais la maîtrise des Vétérans est tout simplement inimaginable, l’homme et la monture se déplaçant avec une précision parfaite, même au cœur du plus sanglant des corps à corps.",S04
10704,"Jorah Mormont, le Chevalier Errant",Épée Longue,,,« Les spectres ne sont pas plus nombreux ici qu’ailleurs. Nous les emmenons partout avec nous. »,"Quoi que l’on puisse penser des agissements et du passé trouble de Jorah Mormont, ses prouesses martiales lui ont permis de gagner le respect des Dothraki, ce qui est loin d’être une mince affaire. Vétéran de nombreuses batailles devenu mercenaire, Jorah possède un œil aguerri pour déceler les failles dans les rangs ennemis et permettre à ses troupes de les exploiter. Ser Jorah préfère combattre à cheval et ses talents de cavalier surpassent ceux de la plupart des Ouestriens.",2021-S03
10705,Maîtres d'Armes Immaculés,Prouesse Immaculée,,,,"Chez les célèbres Immaculés, seule une recrue sur trois survit au brutal processus d’entraînement. Ces redoutables légions d’eunuques sont réputées pour leurs talents martiaux et leur discipline inflexible. Même si individuellement, ils ne sont pas forcément de taille face aux soldats Ouestriens, les Immaculés ne ressentent aucune douleur et sont capables de frapper l’ennemi lorsque celui-ci s’y attend le moins. Malheur à celui qui fera l’erreur de les sous-estimer à cause de leur frêle stature et leurs coutumes étranges.",2021-S01
