Original Name,Translated Name,Translated Description,Version
Hand's Orders,Les Ordres de la Main,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette unité est Influencée par cette carte, chaque fois qu’elle est ciblée par une Capacité d’UNC ou de zone Stratégique, vous pouvez annuler l’effet de cette UNC ou zone.",2021
Hardened,Endurci,"Chaque fois qu’un ennemi effectue une attaque sur cette unité, après avoir lancé les dés de Défense, cette unité bloque 1 Touche pour chacun de ses rangs détruits.",2021-S02
Harma's Vassal,Vassal d'Harma,Cette figurine compte comme Harma lorsque son unité est ciblée par des cartes Tactique.,2021-S02
Harpoon,Harpon,"Après avoir résolu cette attaque, le défenseur devient **Affaibli**.",2021
Healing Hands,Mains Guérisseuses,"Au début du round 2, choisissez une zone Stratégique. La prochaine fois qu’une UNC ennemie s’empare de cette zone, attachez la carte Poison **L’Étrangleur** à cette UNC.",2021
Heart of Fire,Cœur Ardent,"Cette unité commence la partie avec 1 **pion Foi**. Chaque fois qu’elle réussit un Test de Moral, elle gagne 1 pion Foi. Les pions Foi peuvent être dépensés pour les effets suivants :
• **Quand un ennemi engagé avec cette unité effectue une attaque, avant de résoudre celle-ci :**
Pour chaque rang détruit de cette unité, l’attaquant subit 3 Touches. 
• **Quand cette unité effectue une Attaque de Mêlée, avant de lancer les dés d’Attaque :**
Cette attaque gagne **Précision** et **Cruel**. 
• **Quand cette unité est détruite :** 1 autre unité R’hllor située à Longue Portée ou moins effectue 1 action d’Attaque. ",2021
Heir of House Targaryen,Héritière de la Maion Targaryen,"Quand Daenerys est détruite, votre adversaire gagne 2 Points de Victoire.",2021
History is Written by the Victors,L’Histoire Est Écrite par les Vainqueurs,"**Le Grand Sénéchal ne peut ni être activé, ni être ciblé d’aucune façon que ce soit. Il se contente d’observer la bataille.**
Une fois le vainqueur déclaré, celui-ci peut décrire à sa manière tous les événements qui sont produits dans la bataille. Aucun adversaire ne peut contredire, réfuter ou reformuler l’histoire contée par le vainqueur *(aussi déformée et exagérée soit-elle)* jusqu’à ce que ce dernier soit vaincu lors d’une prochaine partie.",2021
Hodor!,Hodor !,Les Attaques de Mêlée de cette unité infligent +1 Blessure.,2021
Hodor!!!,Hodor !!!,"Quand cette unité effectue une action de Repli, après avoir lancé les dés de Distance de Repli, vous pouvez choisir d’obtenir un résultat de 6 sur tous les dés et de rendre **Vulnérable** l’ennemi duquel cette unité se désengage. Si vous le faites, cet Attachement perd toutes ses capacités jusqu’à la fin de la partie.",2021-S01
Horrific Rumors,Rumeurs Horribles,"Roose commence la partie avec 3 pions Ordre sur sa carte. Chaque fois que Roose est activé, vous pouvez retirer 1 de ses pions Ordre. Si vous le faites, ciblez 1 Unité Combattante ennemie. Elle devient **Paniquée**. Chaque fois que Roose s’empare d’une zone, vous pouvez remplacer l’effet de celle-ci par : 
*1 Unité Combattante ennemie subit 1 Test de Panique.* ",2021
Horrific Visage,Visage Horrifique,"Chaque fois qu’un ennemi effectue une Attaque de Mêlée sur cette unité, avant de résoudre celle-ci, ciblez l’attaquant. Il subit 1 Test de Panique avec −1 au lancer pour chaque rang restant dans cette unité. ",2021
Hot Tempered,Tempérament Bouillant,"**Influence** *(Quand cette unité s’empare d’une zone du Tableau Stratégique, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette carte Influence une unité alliée, quand un ennemi effectue une Attaque de Mêlée qui cible cette unité, avant de résoudre cette attaque, l’attaquant subit 2 Touches, +1 pour chaque rang restant du défenseur.",2021
House of The Undying,Maison des Nonmourants,"Au début de la partie, placez la zone de la **Demeure des Nonmourants** à côté du Tableau Stratégique. Elle compte comme une nouvelle zone Stratégique.
Chaque fois qu’une UNC alliée s’empare de la zone [UNDYING], vous pouvez remplacer l’effet de celle-ci par :
*Votre adversaire doit révéler 1 carte Tactique au hasard de sa main. Vous pouvez le forcer à défausser cette carte ou à la reprendre en main. Si vous la lui faites reprendre en main, il doit défausser 1 carte Tactique au hasard.*",2021
Hrakkars & Tamers,Hrakkars et Dresseurs,"• Cette unité possède 6 Blessures.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre.",2021
Hunter's Guile,Ruse du Chasseur,"**Influence** *(Quand cette unité s’empare d’une zone du Tableau Stratégique, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette carte Influence une unité ennemie, les attaques de cet ennemi subissent −1 pour Toucher et celui-ci considère tous les Terrains comme étant dotés des mots-clés Entravant et Difficile.",2021
Illyrio's Boon,Faveur d'Illyrio,"Chaque fois qu’Illyrio s’empare d’une zone, vous pouvez remplacer l’effet de celle-ci par :
*Ciblez 1 Unité Combattante alliée. Elle soigne 3 de ses Blessures. 1 ennemi avec lequel elle est engagée devient **Affaibli**.*",2021
Impaling Spear,Pique d'Empalement,"Après avoir résolu cette attaque, si elle a détruit au moins un rang ennemi, tous les ennemis situés à Courte Portée ou moins de l’attaquant deviennent **Paniqués**.",2021
Improved Armaments,Armement Amélioré,"Tant que vous contrôlez [MONEY], les Attaques de Mêlée de cette unité gagnent **Fracasser** et lancent leur valeur de dés d’Attaque la plus élevée.",2021
Improved Defenses,Défenses Améliorées,"Tant que vous contrôlez [MONEY], cette unité gagne +1 à ses lancers de dés de Défense.",2021
In R'hllor's Name,Au Nom de R’hllor,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* : 
Tant que cette carte Influence une unité ennemie, chaque fois que celle-ci échoue un Test de Panique, elle devient **Affaiblie**.
Tant que cette carte Influence une unité ennemie, si celle-ci est engagée avec une unité R’hllor, elle subit +1 Blessure quand elle échoue ses Tests de Panique.",2021
Insignificant,Insignifiant,Cette unité ne rapporte pas de Points de Victoire lors d’une **Victoire Militaire**.,2021
Inspiring Presence,Présence Motivante,La valeur de Moral de cette unité devient 5+.,2021
Interrogate,Interrogatoire,"Chaque fois que cette unité détruit un ennemi avec une attaque de Mêlée, vous pouvez regarder la main de cartes Tactique de votre adversaire et y défausser 1 carte.",2021
Intimidating Presence,Présence Intimidante,Les ennemis engagés avec cette unité subissent −1 à leurs lancers de Test de Moral et +1 Blessure lorsqu’ils échouent un Test de Panique. ,2021
Intimidation Of The Crown,Intimidation de la Couronne,"Si vous contrôlez [CROWN] quand cette unité effectue une Attaque de Mêlée, avant de lancer les dés d’Attaque, le défenseur devient **Paniqué** et **Affaibli**.",2021
Intrigue and Subterfuge,Intrigues et Faux-Semblants,"Une fois par partie, quand une UNC ennemie est activée, elle perd toutes ses Capacités jusqu’à la fin du round.",2021
Iron Resolve,Volonté de Fer,Cette unité gagne +1 à ses lancers de Test de Panique et subit −1 Blessure lorsqu’elle échoue un Test de Panique.,2021
Ironborn Arrows,Flèches de Fer-Né,Peut relancer n’importe quels dés d’Attaque en attaquant des ennemis de Flanc ou de Dos.,2021
Ironborn Diplomat,Diplomate Fer-Né,"Une fois par partie, au début d’un round, vous pouvez choisir une zone du Tableau Stratégique. Si vous le faites, aucune UNC ne peut s’emparer de cette zone durant ce Round.
Une fois par partie, quand une UNC ennemie est activée, vous pouvez choisir 2 zones du Tableau Stratégique.
Si cette UNC s’empare d’une de ces zones pendant son activation, ciblez 1 Unité Combattante ennemie. Elle devient **Paniquée** et **Vulnérable**.",2021
Jade Fire,Feu de Jade,"• **Cruel**
• Les Touches de cette attaque ne peuvent pas être bloquées. Si cette attaque génère des Touches, au lieu de lancer les dés de Défense, le défenseur subit D3+3 Blessures et 1 ennemi situé à Courte Portée ou moins du défenseur devient **Affaibli**.",2021-S01
Jagged Weapons,Armes en Os,• **Cruel**,2021
Jaime's Protector,Protecteur de Jaime,"Après que l’unité de Jaime Lannister a été attaquée, cette unité effectue 1 action d’Attaque ou de Charge sur l’attaquant, si possible.",2021
Jaime's Vassal,Vassal de Jaime,Cette figurine compte comme Jaime Lannister pour tous les effets et Capacités.,2021-S02
Joffrey’s Retinue,Escorte de Joffrey,"Cette unité comprend 8 figurines *(Joffrey compris)*, possède 8 Blessures et 2 Rangs.",2021
Jojen's Greensight,Vervue de Jojen ,"Chaque fois que cette unité effectue une action d’Attaque ou de Charge, avant de résoudre celle-ci, elle gagne 1 des options suivantes :
• Peut relancer n’importe quels dés d’Attaque.
• Peut relancer n’importe quels dés de Distance de Charge et ignore les mots-clés Entravant et Difficile ce tour-ci.",2021
Juvenile Dragon,Jeune Dragon,"• Cette unité possède 8 Blessures.
• Cette unité ignore les unités et éléments de Terrain lorsqu’elle Manœuvre ou qu’elle Marche.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre.",2021
King’s Blade,Lame du Roi,"Avant de lancer les dés d’Attaque, vous pouvez chercher 1 carte **Nôtre est la Fureur !** dans votre paquet ou défausse Tactique et ajoutez-la à votre main. Mélangez votre paquet Tactique. ",2021-S01
Knightly Vow,Serment de Chevalier,"• Après le déploiement, ciblez 1 unité ennemie. Quand elle Charge l'ennemi ciblé, cette unité peut relancer n’importe quels dés de Distance de Charge.
• Tant que vous contrôlez [SWORDS], les Attaques de Mêlée de cette unité gagnent +1 pour Toucher. ",2021-S02
Knight’s Blade,Lame de Chevalier,"Tant que vous contrôlez [CROWN], chaque fois que cette unité effectue une action, avant de résoudre celle-ci, 1 ennemi situé à Longue Portée ou moins subit un Test de Panique avec -1 pour chaque rang restant dans cette unité.",2021
Knowledge Is Power,"Le Savoir, C'est le Pouvoir",Augmentez votre limite de cartes Tactique de +1. Vous commencez la partie avec 4 cartes et vous repiochez jusqu’à 4 cartes quand vous refaites votre main.,2021
Lady of the Wilds,La Dame des Forêts,"Quand Lady Val s’empare d’une zone, vous pouvez remplacer l’effet de celle-ci par :
*1 Unité Combattante alliée effectue 1 action de Manoeuvre ou de Repli. Si elle se Replie, l’ennemi duquel elle se désengage devient **Vulnérable**.*",2021
Lance,Lance,"• **Fracasser**
• Lors d’une Charge, inflige +1 Touche pour chaque rang restant dans cette unité.",2021-S01
Lannister Justice,Justice des Lannister,"Tant que vous contrôlez [CROWN], chaque fois que cette unité effectue une action, 1 ennemi situé à Longue Portée ou moins subit 1 Test de Panique avec -1 au lancer pour chaque rang restant dans cette unité.",2021
Lannister Oppression,Oppression Lannister ,"Avant de lancer les dés d’Attaque, vous pouvez dépenser des pions État du défenseur pour gagner les effets suivants :
• **Paniqué :** Jusqu’à la fin du tour, le défenseur perd toutes ses Capacités et ne peut pas être ciblé par des cartes Tactique alliées.
• **Vulnérable :** Cette attaque peut relancer n’importe quels dés d’Attaque. Après avoir résolu cette attaque, cette unité soigne 2 de ses Blessures pour chaque rang détruit du défenseur par cette attaque.
• **Affaibli :** Cette attaque lance sa valeur de dés d’Attaque la plus élevée et gagne **Fracasser**.",2021
Little Birds,Oisillons,"Varys commence la partie avec 4 pions Ordre sur sa carte. Chaque fois qu’une UNC ennemie s’empare d’une zone, après en avoir résolu l’effet, vous pouvez retirer 1 pion Ordre de Varys. Si vous le faites, gagnez l’effet suivant en fonction de la zone : 
[CROWN] : 1 ennemi subit 1 Test de Panique. 
[MONEY] : Soignez 2 Blessures de 1 unité alliée. 
[SWORDS] : 1 ennemi subit 3 Touches. 
[LETTER] : Piochez 1 carte Tactique. 
[HORSE] : 1 unité alliée se décale de 3’’.",2021
Little Doves,Petites Colombes,"Qyburn commence la partie avec 4 pions Ordre sur sa carte.
Chaque fois qu’une UNC ennemie s’empare d’une zone, après en avoir résolu l’effet, vous pouvez retirer 1 pion Ordre de Qyburn. Si vous le faites, gagnez l’effet suivant en fonction de la zone :
[CROWN] : 1 ennemi devient **Paniqué**.
[MONEY] : 1 Unité Combattante ennemie subit 1 Blessure.
[SWORDS] : L’attaquant compte comme ayant −1 rang pour ses dés d’Attaque.
[LETTER] : L’adversaire pioche 1 carte Tactique de moins.
[HORSE] : L’ennemi se déplace à −1 [MOVEMENT].",2021
Loving Counsel,Conseil Affectueux,"Chaque fois que Cressen s’empare de [CROWN], vous pouvez remplacer l’effet de celle-ci par :
*Piochez 2 cartes Tactique et placez 1 pion État sur 1 Unité Combattante ennemie.*",2021
Loyal Imposter,Imposteur Fidèle,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round).*
Tant que cette carte influence une unité, celle-ci gagne +2 aux lancers de Test de Moral.
Une fois par partie, au début de n’importe quel round, vous pouvez donner le
contrôle de Jeyne à votre adversaire jusqu’à la fin du round. Si vous le faites, vous devenez le Premier Joueur. Jeyne ne peut pas influencer d’unité ce round-ci.",2021
Loyalty through Coin,Loyauté Intéressée,"Tant que vous contrôlez [MONEY], cette unité gagne +1 à ses lancers de dés de Défense et +1 à ses lancers de Test de Moral.",2021
Loyalty: Renly Baratheon,Loyauté : Renly Baratheon,"Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.",2021
Loyalty: Stannis Baratheon,Loyauté : Stannis Baratheon,"Dans votre armée, vous ne pouvez recruter ni d’unité ni d’Attachement avec une loyauté différente.",2021
Lysene Charm,Charmes Lyséens,"Chaque fois qu'Ellaria s’empare d’une zone, ciblez 1 Unité Combattante alliée. Vous pouvez retirer 1 de ses pions État.
Si vous contrôlez [SWORDS], ciblez 2 unités ennemies situées à Longue Portée ou moins de l’unité alliée ciblée. Placez 1 pion État sur chacun de ces ennemis.",2021
Mace & Spike,Masse & Pointe,"Avant de lancer les dés d’Attaque, choisissez 1 option. Pour chaque rang détruit dans cette unité, choisissez une option de plus :
• **Frappe Critique**
• **Précision**
• Relancez n’importe quels dés d’Attaque.",2021
Maegi's Healing,Guérison de la Maegi,"Chaque fois que cette unité est activée, lancez un D3. Sur un résultat de 3, cette unité subit 1 Blessure. Sur un résultat de 1, choisissez 1 option. Sur un résultat de 2, choisissez-en 2 *(le même effet peut être choisi plusieurs fois)* :
• Cette unité soigne 1 de ses Blessures.
• Retirez 1 pion État de cette unité.",2021
Maegi's Knowledge,Pratiques de Maegi,"Quand Mirri s’empare d’une zone, 1 Unité Combattante alliée soigne 1 de ses Blessures.
Quand Mirri s’empare d’une zone, vous pouvez remplacer l’effet de celle-ci par :
*Ciblez 1 Unité Combattante alliée. Attachez-lui 1 Attachement allié non-Général détruit, en remplaçant une figurine de cette unité et en ignorant les restrictions d’Attachements normales.*",2021
Maester's Healing,Soins de Mestre,"Chaque fois que Aemon s’empare d’une zone, vous pouvez cibler 1 unité alliée. Cette unité se soigne de 1 Blessure, + 1 pour chacun de ses rangs détruits.",2021
Mammoth,Mammouth,"• Cette unité possède 8 Blessures.
• Cette unité ne peut pas Contrôler d’Objectif.
• Cette unité ne peut pas subir plus de 2 Blessures quand elle échoue un Test de Panique.
• Quand cette unité est détruite, avant d’être retirée, ciblez 1 ennemi avec lequel elle est engagée. Il subit D3 Blessures.",2021-S01
Manipulation and Deception,Manipulation et Tromperie,"Chaque fois que Pycelle s’empare d’une zone, ciblez 1 Unité Combattante ennemie. Elle devient **Affaiblie**.",2021
Manticore Venom,Venin de Manticore,"Une fois par partie, après que cette unité a résolue une Attaque de Mêlée, attachez la carte Poison **Venin de Manticore** au défenseur jusqu’à ce qu’il soit détruit.",2021
Marauder’s Blades,Lames de Soudards,"• **Frappe Critique**
• Gagne +1 pour Toucher et **Cruel** en attaquant un ennemi qui possède autant ou moins de rangs restants.",2021-S01
Marshal,Maréchal,"• Cette unité possède 3 Blessures.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre ou de Repli.
• Les autres unités alliées situées à Courte Portée ou moins gagnent +1 dé d'Attaque à leurs Attaques de Mêlée.",2021
Martial Expertise,Expertise Martiale,"Chaque fois que Rodrik s’empare de [SWORDS], ciblez 1 Unité Combattante ennemie qui devient **Vulnérable**.
Rodrik commence la partie avec 2 pions Ordre sur sa carte.
Au début de n’importe quel tour, vous pouvez retirer 1 pion Ordre de Rodrik. Si vous le faites, retirez 1 pion Ordre sur une unité alliée. Cette Ordre peut de nouveau être utilisé ce round-ci.",2021
Master Skinchanger,Maître Change-Peau,"• Cette unité possède 4 Blessures.
• Au début de son activation, cette unité peut effectuer 1 action de Manoeuvre.
• Gagnez l’**Aigle de Varamyr**. Les effets de cette unité sont détaillés sur sa carte.",2021
Master of the Game,Maître du Jeu,"Petyr Baelish commence la partie avec 3 pions Ordre.
Chaque fois que Petyr s’empare d’une zone, vous pouvez dépenser 1 pion Ordre pour remplacer l’effet de celle-ci par celui de n’importe quelle autre zone libre.
Une fois par partie, au début de n’importe quel tour, vous pouvez choisir 1 zone.
Jusqu’à la fin du round, vous êtes considéré comme contrôlant cette zone.",2021
Mercenary’s Longbow,Arc Long de Mercenaire,"• Tant que vous contrôlez [MONEY], gagne **Fracasser**.
• Tant que vous contrôlez [LETTER], avant de lancer les dés d’Attaque, le défenseur devient **Vulnérable**.
• Tant que vous contrôlez [SWORDS], peut relancer n’importe quels dés d’Attaque.",2021
Merchant Lord's Reach,L'Empreinte du Seigneur Marchand,"Chaque fois qu'Hizdahr s’empare d’une zone, à moins que son effet ne soit remplacé, elle gagne les effets supplémentaires suivant :
[CROWN] : Si l’unité échoue ce Test de Panique, elle ne peut pas être la cible d’Ordres alliés ce round-ci.
[MONEY] : Toutes les unités alliées à Courte Portée ou moins soignent 1 de leurs Blessures.
[LETTER] : Vous pouvez piocher 1 carte Tactique de moins pour placer +1 pion État sur l’ennemi ciblé.
[UNDYING] : Défaussez également la carte du dessus du paquet Tactique de votre adversaire.",2021
Might of The Iron Throne,Puissance du Trône De Fer,"Tant que Joffrey se trouve sur le Tableau Stratégique, vous êtes considéré comme contrôlant [CROWN].
**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round)* :
Tant que cette carte Influence un ennemi, celui-ci subit +1 Blessure lorsqu’il échoue un Test de Panique.",2021
Might of the Throne,Puissance du Trône,"Chaque fois qu’une UNC alliée s’empare de [CROWN], vous pouvez remplacer l’effet de cette zone par :
*L’unité de Kevan Lannister effectue une actiond’Attaque ou de Charge.*",2021
Misunderstood Omens,Présages Incompris,"Bariol commence la partie avec 3 pions Ordre sur sa carte.
Au début de n’importe quel round, vous pouvez retirer 1 pion Ordre de cette carte.
Si vous le faites, vous pouvez nommer une carte Tactique. Si votre adversaire possède au moins 1 carte Tactique du même nom dans sa main, il défausse 1 carte Tactique ainsi nommée.",2021
Mother of Dragons,Mère des Dragons,"Une fois par partie, au début de n’importe quel tour, vous pouvez chercher 1 carte de Général Daenerys dans votre paquet ou défausse Tactique et l’ajouter à votre main. Mélangez votre paquet Tactique.",2021
Motivated by Coin,Appât du Gain,"Chaque fois qu’une UNC alliée s’empare de , vous pouvez remplacer l’effet de cette zone par :
*1 unité de [NAME] effectue 1 action d’Attaque.*",2021
Motivated by Coin (Bronn),Appât du Gain ,"Chaque fois qu’une UNC alliée s’empare de [MONEY], vous pouvez remplacer l’effet de cette zone par : 
*L’unité de Bronn effectue 1 action d’Attaque.* ",2021
Motivated by Coin (Daario Naharis),Appât du Gain ,"Chaque fois qu’une UNC alliée s’empare de [MONEY], vous pouvez remplacer l’effet de cette zone par : 
*L’unité de Daario Naharis effectue 1 action d’Attaque.* ",2021
Motivated by Coin (Fortune Seeker),Appât du Gain ,"Chaque fois qu’une UNC alliée s’empare de [MONEY], vous pouvez remplacer l’effet de cette zone par : 
*L’unité du Quêteur de Fortune effectue 1 action d’Attaque.* ",2021
Motivated by Coin (Nute),Appât du Gain ,"Chaque fois qu’une UNC alliée s’empare de [MONEY], vous pouvez remplacer l’effet de cette zone par : 
*L’unité de Nutt effectue 1 action d’Attaque.* ",2021
Motivated by Coin (Stormcrow Dervishes),Appât du Gain ,"Chaque fois qu’une UNC alliée s’empare de [MONEY], vous pouvez remplacer l’effet de cette zone par : 
*1 unité de Derviches Corbeaux Tornade effectue 1 action d’Attaque.*",2021
Motivated by Coin (Stormcrow Mercenaries),Appât du Gain ,"Chaque fois qu’une UNC alliée s’empare de [MONEY], vous pouvez remplacer l’effet de cette zone par : 
*1 unité de Mercenaires Corbeaux Tornade effectue 1 action d’Attaque.*",2021
Motley Armaments,Armement Disparate,"En attaquant de Flanc, choisissez 1 option. En attaquant de Dos, gagnez les deux : 
• +1 dé d’Attaque et **Frappe Critique**. 
• Le défenseur perd toutes ses Capacités ce tour-ci. ",2021
Mummer’s Blade,Lame de Pitre,"En attaquant un ennemi qui n’a pas été activé ce round-ci, avant de lancer les dés d’Attaque, cet ennemi devient **Affaibli**. ",2021
Necessary Sacrifices,Sacrifices Nécessaires,"Une fois par partie, quand une Unité Combattante alliée doit être détruite, elle n’est pas détruite et reste en jeu avec D3 Blessures. Jusqu’à la fin
de la partie, elle est une unité R’hllor.",2021
Negotiator,Négotiatrice,"**Influence** *(Quand cette unité s’empare d’une zone, attachez cette carte à une Unité Combattante jusqu’à la fin du round) :
Chaque fois qu’Arianne Martell Influence une unité, choisissez 1 option :
• Tant que cette carte Influence une unité ennemie, les Attachements de cette unité perdent toutes leurs Capacités.
• Tant que cette carte Influence une unité ennemie, elle ne peut pas être la cible d’Ordres alliés.",2021
Never Do What They Expect,Ne Jamais Faire le Geste Escompté ,"Arya commence la partie avec 3 pions Ordre.
Au début d’un tour ennemi, vous pouvez retirer 1 pion Ordre de cette carte.
Si vous le faites, ciblez 1 unité d’Infanterie alliée. Elle effectue 1 action de Manoeuvre ou de Repli.",2021
Noble’s Wrath,Colère Noble,"• **Fracasser**
• Inflige +2 Touches pour chaque Blessure qu’a subie cette unité.",2021
Oppressive Peacekeeping,Pacification Oppressive,"Tant que vous contrôlez [CROWN], les ennemis situés à Courte Portée ou
moins subissent −1 à leurs lancers de Tests de Moral.",2021
Order: Adaptive Planning,Ordre : Planification Réactive,"**Au début de n’importe quel tour :**
Ciblez 1 Unité Combattante située à Longue Portée ou moins.
Remplacez 1 pion État sur cette unité par 1 autre pion État de votre choix.",2021
Order: Adaptive Style,Ordre : Technique Réactive,"**Quand cette unité attaque ou est attaquée, avant de lancer les dés d’Attaque :**
Choisissez 1 option :
• Cette unité gagne +1 à ses lancers de dés Défense.
• Cette attaque inflige +1 Touche pour chaque rang restant dans cette unité.",2021
Order: Battle Plan,Ordre : Plan de Bataille,"**Au début de n’importe quel tour :**
Défaussez 2 cartes Tactique pour chercher dans votre paquet Tactique 1 carte au choix que vous ajoutez à votre main. Mélangez votre paquet Tactique.",2021
Order: Charging Volley,Ordre : Volée d'Assaut,"**Après que cette unité a effectué une Attaque à Distance :** 
Cette unité effectue 1 action de Charge sur le défenseur.",2021
Order: Counterstrategy,Ordre : Contre Stratégie,"**Quand un ennemi situé à Courte Portée ou moins utilise un Ordre ou est ciblé par une carte Tactique :**
Lancez 1 dé. Sur un résultat de 3+, annulez l’effet de cet Ordre ou cette carte Tactique.",2021
Order: Drowned God’s Blessing,Ordre : Bénédiction du Dieu Noyé,"**Au début de n’importe quel Tour :**
Ciblez 1 unité d’Infanterie Greyjoy alliée située à Courte Portée ou moins et choisissez 1 option :
• Cette unité soigne 2 de ses Blessures.
• Cette unité peut relancer n’importe quels dés d’Attaque ce tour-ci.
• Les ennemis qui attaquent cette unité ce tour-ci deviennent **Vulnérable**.",2021
Order: Grisly Example,Ordre : Exemple Macabre,"**Au début de n’importe quel tour :**
Cette unité subit 1 Blessure. Ciblez tous les ennemis situés à Courte Portée ou moins. Ils deviennent **Paniqués**.",2021
Order: Hidden Traps,Ordre : Pièges Cachés,"**Quand un ennemi non engagé situé à Longue Portée ou moins effectue une action, avant de résoudre celle-ci :**
Choisissez 1 option :
• Cet ennemi subit 1 Touche, +1 pour chacunde ses rangs restants.
• Cet ennemi subit  -1 [MOVEMENT] jusqu'à la fin du tour.",2021-S01
Order: Hold The Line!,Ordre : Tenez Bon !,"**Quand cette unité est activée :**
Ciblez 1 ennemi engagé avec cette unité. Il subit 2 Touches, +1 par rang restant dans cette unité.",2021-S01
Order: Incite,Ordre : Incitation,"**Quand cette unité effectue une Attaque de Mêlée, avant de lancer les dés d’Attaque :**
Cette attaque gagne **Cruel** et lance sa valeur de dés d’Attaque la plus élevée.",2021
Order: Just Shares,Ordre : Parts Équitables,"**Au début de n’importe quel tour :**
Ciblez 1 Unité Combattante alliée située à Longue Portée ou moins.
Prenez 1 pion Pillage de cette unité et placez-le sur  autre unité alliée dotée de Pillage située à Courte Portée ou moins de l’unité ciblée.",2021
Order: King’s Blade,Ordre : Lame du Roi,"** Après que cette unité a été attaquée :**
Cherchez 1 carte **Nôtre est la Fureur !** dans votre paquet ou défausse Tactique et ajoutez-la à votre main. Mélangez votre paquet Tactique. ",2021
Order: Lannister Supremacy,Ordre : Suprématie des Lannister,"**Après qu’un ennemi a résolu une attaque sur cette unité :**
Ciblez l’attaquant. Il subit 1 Test de Panique. Pour chaque rang restant dans cette unité, l’attaquant subit −1 au lancer et +1 Blessure.",2021
Order: Laws of the Realm,Ordre : Lois du Royaume,"**Quand un ennemi situé à Courte Portée ou moins attaque, avant de lancer les dés d’Attaque :**
Cet ennemi est considéré comme possédant 1 rang de moins pour ses dés d’Attaque. S’il ne possède plus que 1 rang restant, il devient **Vulnérable**.",2021
Order: Mark Target,Ordre : Marquer la Cible,"**Au début d’un tour allié :**
Ciblez 1 ennemi situé à Longue Portée ou moins et en Ligne de Vue. Il devient **Vulnérable**.",2021
Order: Martial Training,Ordre : Entraînement Martial,"**Quand cette unité effectue une Attaque de Mêlée, avant de lancer les dés d’Attaque :**
Cette attaque peut relancer n’importe quels dés d’Attaque et le défenseur devient **Vulnérable**.",2021
Order: Overrun,Ordre : Débordement,"**Quand cette unité effectue une Percée :**
Au lieu d’effectuer sa Percée, cette unité effectue 1 action de Charge.",2021
Order: Overwatch,Ordre : État d’Alerte,"**Après qu’un ennemi a terminé une action de Marche ou de Manœuvre à Longue Portée ou moins et en Ligne de Vue de cette unité :**
Cette unité effectue 1 action d’Attaque à Distance sur cet ennemi.",2021
Order: Pit Fighter Rage,Ordre : Rage du Gladiateur,"**Quand cette unité effectue une Attaque de Mêlée, avant de lancer les dés d’Attaque :**
Le défenseur devient **Vulnérable**, **Paniqué** et **Affaibli**. Une fois cette
attaque résolue, l’attaquant subit 2 Blessures.",2021
Order: Queen’s Blade,Ordre : Lame de la Reine,"**Quand une unité R’hllor alliée située à Courte Portée ou moins est attaquée, avant de lancer les dés d’Attaque :**
Cherchez 1 carte **Justice des Baratheon** dans votre paquet ou défausse Tactique et ajoutez-la à votre main. Mélangez votre paquet Tactique.",2021-S02
Order: Quick Fire,Ordre : Tir Rapide,"**Après que cette unité a effectué une action de Manoeuvre ou de Repli :**
Cette unité effectue 1 action d’Attaque à Distance.",2021
Order: Raven Flock,Ordre : Nuée de Corbeaux,"**Quand un ennemi situé à Longue Portée effectue une action d’Attaque, avant de résoudre celle-ci :**
Cette attaque subit −1 pour Toucher.",2021
Order: Ready! Aim! Release!,Ordre : Prêt ! Visez ! Tirez !,"**Quand un ennemi effectue une action de Charge sur cette unité, avant de résoudre cette action :**
Si elle Chargée de Front, cette unité effectue 1 action d’Attaque à Distance sur cet ennemi.",2021-S01
Order: Reckless Heroism,Ordre : Héroïsme Téméraire,"**Quand cette unité effectue une action de Charge, avant de résoudre celle-ci :**
Cette unité subit D3 Blessures, mais compte comme ayant obtenu 6 sur tous ses dés de Distance de Charge. ",2021
Order: Resilience,Ordre : Résilience,"**Quand un ennemi effectue une attaque sur cette unité, après avoir lancé les dés d’Attaque :**
Cette unité ne subit que 1 Blessure par tranche de 2 Touches non bloquées.",2021
Order: Scout Openings,Ordre : Faille de L’Éclaireur,"**Au début d’un tour allié :**
Ciblez 1 ennemi situé à Longue Portée ou moins. Jusqu’à la fin du tour, les attaques des unités alliées qui visent cet ennemi peuvent relancer n’importe quels dés d’Attaque et gagnent **Précision**,",2021
